UDISE Code,English Title,Telugu Title
28163100119,ST JOSEPHS EMS SRIKAKULAM,ఎస్.టి. జోసెఫ్స్ ఇంగ్లీష్ మీడియం పాఠశాల శ్రీకాకుళం
28140100401,"GTW Asram School, BANDA",జి.టి.డబల్యు. అస్రామ్ పాఠశాల బాండ
28140100910,GOVT PS (TW) BODDUMANU VEEDHI,ప్రభుత్వ ప్రాథమిక పాఠశాల (టి. డబ్ల్యు.) బొడ్డుమను వీధి
28140103501,MPPS PANDIRIMAMIDI KOTA,మండల పరిషత్ ప్రాథమిక పాఠశాల (MPPS) పండిరిమామిది కోట
28140104904,ZPHS MAREDUMILLI,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) మారేడుమిల్లి
28140309802,LUTHARAN AIDED PS,లూథరన్ ఎయిడెడ్ ప్రాథమిక పాఠశాల
28140800908,MADHURI VIDYALAYA EM SCHOOL GOLLAPROLU,మాధురి విద్యాలయ (ఇంగ్లీష్ మీడియం) పాఠశాల గోల్లప్రోలు
28140800916,SRIRAM VIDYANIKETHAN GOLLAPROLU,శ్రీరామ్ విద్యానికేతన్ గోల్లప్రోలు
28141700212,ADARSA HIGH SCHOOL,ఆదర్శ ఉన్నత పాఠశాల
28142190763,LITTLE SOLDIERS H SCHOOL NEAR RTC COMPLEX,చిన్న సోల్డియర్స్ హెచ్. పాఠశాల సమీపంలో ఆర్.టి.సి. కాంప్లెక్స్
28142990322,ZPHS DOWLAISWARAM,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) ధవళేశ్వరం
28171590918,SAVN MPPS SATTENAPALLI,సేవన్ మండల పరిషత్ ప్రాథమిక పాఠశాల (MPPS) సత్తెనపల్లి
28172600603,GOVTPS M N C GNT,గోవత్ప్స్ ఎం. నిలయం సి. జి.ఎన్.టి.
28172500310,VIJAYAMARY EMS SIRIPURAM,విజయామేరీ ఇంగ్లీష్ మీడియం పాఠశాల సిరిపురం
28143500306,GOVT HS PEDAPUDI,ప్రభుత్వ ఉన్నత పాఠశాల పెదపూడి
28175201713,SAI E.M & T.M School TUMMALA,సాయి (ఇంగ్లీష్ మీడియం) అంప్ మీడియం పాఠశాల తుమ్మల
