UDISE Code,English Title,Telugu Title
28140100401,GAUPS BANDA,ప్రభుత్వ ప్రాథమికోన్నత పాఠశాల (ఆశ్రమ) బాండ
28140100910,GPS (TW) BODDUMANUVEEDHI,ప్రభుత్వ ప్రాథమిక పాఠశాల (గిరిజన సంక్షేమ) (GPS) (టి. డబ్ల్యు.) బొద్దుమనువీది
28140103501,MPPS PANDIRIMAMIDIKOTA,మండల పరిషత్ ప్రాథమిక పాఠశాల (MPPS) పందిరిమామిడికోట
28140104904,ZPHS MAREDUMILLI,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) మారేడుమిల్లి
28140309802,LUTHERN PS (AIDED) GONTUVANIPALEM,లూథరన్ ప్రాథమిక పాఠశాల (ఎయిడెడ్) గొంతువానిపాలెం
28140800908,MADHURI VIDYALAYA UPS (EM) GOLLAPROLU,మాధురి విద్యాలయ ప్రాథమికోన్నత పాఠశాల ((ఇంగ్లీష్ మీడియం)) గోల్లప్రోలు
28140800916,SRIRAM VIDYANIKETHAN UPS (EM) GOLLAPROLU,శ్రీరామ్ విద్యానికేతన్ ప్రాథమికోన్నత పాఠశాల ((ఇంగ్లీష్ మీడియం)) గోల్లప్రోలు
28141700212,ADARSA HS (EM) KOTHAPALLI,ఆదర్శ ఉన్నత పాఠశాల ((ఇంగ్లీష్ మీడియం)) కొత్తపల్లి
28142190763,LITTLE SOLDIERS HS (EM)  GEORGE GARI STREET,చిన్న సోల్డియర్స్ ఉన్నత పాఠశాల ((ఇంగ్లీష్ మీడియం)) జార్జ్ గారి వీధి
28142990322,ZPHS DOWLESWARAM,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) దౌలేశ్వరం
28171590918,SAVN MPPS SATTENAPALLI,సేవన్ మండల పరిషత్ ప్రాథమిక పాఠశాల (MPPS) సత్తెనపల్లి
28172600603,GOVTPS M N C GNT,గోవత్ప్స్ ఎం. నిలయం సి. జి.ఎన్.టి.
28172500310,VIJAYAMARY EMS SIRIPURAM,విజయామేరీ ఇంగ్లీష్ మీడియం పాఠశాల సిరిపురం
28143500306,GM GOVT HIGH SCHOOL PEDAPUDII,జి.ఎం. ప్రభుత్వ ఉన్నత పాఠశాల పెదపూడి
28175201713,SAI E.M & T.M School TUMMALA,సాయి (ఇంగ్లీష్ మీడియం) అంప్ మీడియం పాఠశాల తుమ్మల
