UDISE Code,English Title,Telugu Title
36011503203,KETHANA TALENT SCHOOL,కేతన టాలెంట్ పాఠశాల
36095190748,GOVT AIDED HS VANI NIKETHAN,ప్రభుత్వ ఎయిడెడ్ ఉన్నత పాఠశాల వాణి నికేతన్
36093400204,SRI VIGNAN SCHOOL,శ్రీ విజ్ఞాన్ పాఠశాల
36090301120,SIDDARTHA SCHOOL,సిద్ధార్థ పాఠశాల
36095190923,VIGNAN PUBLIC SCHOOL,విజ్ఞాన్ పబ్లిక్ పాఠశాల
36091801140,MOTHERLAND ELEMENTARY UPS EM,మొథర్లాండ్ ఎలిమెంటరీ ప్రాథమికోన్నత పాఠశాల (ఇంగ్లీష్ మీడియం)
36091201202,MPUPS BANDOUTHAPURAM,మండల పరిషత్ ప్రాథమికోన్నత పాఠశాల (MPUPS) బందౌతాపురం
36091201303,SRI NARENDRA VIDYALAYAM,శ్రీ నరేంద్ర విద్యాలయం
36091201608,CHETHANA PS WARDHANNAPET,చేతన ప్రాథమిక పాఠశాల వర్ధన్నపేట్
36091201629,SRI AUROBINDO HS EM,శ్రీ ఆరోబిండో ఉన్నత పాఠశాల (ఇంగ్లీష్ మీడియం)
36091201502,ZPHS RAMAVARAM,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) రామవరం
36091201804,ZPHS LAYBERTHY,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) లేబర్తి
36095190859,TSREIS HS (MINORITY) BOYS EM,ట్స్రీస్ ఉన్నత పాఠశాల (మైనారిటీ) బాలురు (ఇంగ్లీష్ మీడియం)
36091200810,"SRI RISHI VIDYALAYAM, KATRIALA",శ్రీ రిషి విద్యాలయం కత్రియాల
36095190221,GPS DESAIPET,ప్రభుత్వ ప్రాథమిక పాఠశాల (గిరిజన సంక్షేమ) (GPS) డెసిపెట్
36093901829,TSSWREIS HS_JC PARKAL,ట్స్వ్రిస్ ఉన్నత పాఠశాల జెసి పార్కల్
36091801119,TSSWREIS HS (G) THORRUR,ట్స్వ్రిస్ ఉన్నత పాఠశాల (జి.) తొర్రర్
36074500110,TSTWREIS (B) MANNANUR,"తెలంగాణ గిరిజన సంక్షేమ గురుకుల పాఠశాల (బాలురు), మన్ననూర్"
36092600625,TSMS NEKKONDA,"తెలంగాణ మోడల్ పాఠశాల, నెక్కొండ"
