UDISE Code,English Title,Telugu Title
28150702403,"NARAYANA JR. COLLEGE, JANGAREDDYGUDEM",నారాయణ జె.ఆర్. కాలేజ్ జంగరెడ్డిగూడెండ్
28152702205,SGOWTAMI PS,స్గౌతమి ప్రాథమిక పాఠశాల
28132991224,SVLT EM SCHOOL,ఎస్.వి.ఎల్.టి. (ఇంగ్లీష్ మీడియం) పాఠశాల
28150800720,SRI GRACE PUBLIC SCHOOL,శ్రీ గ్రేస్ పబ్లిక్ పాఠశాల
28152891108,GOWTHAM HIGH SCHOOL TANUKU (EM),గౌతం ఉన్నత పాఠశాల తనుకు ((ఇంగ్లీష్ మీడియం))
28151890852,"SASI JR. COLLEGE, KADAKATLA, T.P GUDEM",సేసి జె.ఆర్. కాలేజ్ కదకట్ల టి.పి. గూడెం
28151800909,"GOVT JR. COLLEGE, MADHAVARAM",ప్రభుత్వ జె.ఆర్. కాలేజ్ మాధవరం
28151800602,"MPPS, MUTYALAMBAPURAM",మండల పరిషత్ ప్రాథమిక పాఠశాల (MPPS) ముత్యాలంబపురం
28152891111,GURAZADA UPPER PRIMARY SCHOOL (EM),గురజాడ ప్రాథమికోన్నత ప్రాథమిక పాఠశాల ((ఇంగ్లీష్ మీడియం))
28154000849,BHASHYAM HIGH SCHOOL (EM),భాష్యం ఉన్నత పాఠశాల ((ఇంగ్లీష్ మీడియం))
36094901603,MPPS CHITYAL,మండల పరిషత్ ప్రాథమిక పాఠశాల (MPPS) చిత్యాల్
36094903204,MPPS GURRALABAVI,మండల పరిషత్ ప్రాథమిక పాఠశాల (MPPS) గుర్రలబవి
36091401902,GOVT DNTPS MALLAMPALLY THANDA,ప్రభుత్వ డి.ఎన్.టి.పి.ఎస్. మల్లంపల్లి తండ
36095190241,BHARATHI VISHWAIDED PS,భారతి విశ్వైడ్వద్ ప్రాథమిక పాఠశాల
36095190908,SUSEELA DEVI AIDED HS,సుసీల దేవి ఎయిడెడ్ ఉన్నత పాఠశాల
36091201625,BHARATHI JR COLLEGE WARDHANNAPET,భారతి జె.ఆర్. కాలేజ్ వర్ధన్నపేట్
36091201303,SRI NARENDRA VIDYALAYAM,శ్రీ నరేంద్ర విద్యాలయం
36091201608,CHETHANA PS WARDHANNAPET,చేతన ప్రాథమిక పాఠశాల వర్ధన్నపేట్
36091201624,TAKSHASHILA JR COLLEGE WARDHANNAPET,తక్షశిల జె.ఆర్. కాలేజ్ వర్ధన్నపేట్
36091201804,ZPHS LAYBERTHY,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) లేబర్తి
36091201604,MPPS BHAVANIKUNTA THANDA,మండల పరిషత్ ప్రాథమిక పాఠశాల (MPPS) భావనికుంట తండ
36095190221,GPS DESAIPET,ప్రభుత్వ ప్రాథమిక పాఠశాల (గిరిజన సంక్షేమ) (GPS) డెసిపెట్
36091801119,TSSWREIS HS (G) THORRUR,ట్స్వ్రిస్ ఉన్నత పాఠశాల (జి.) తొర్రర్
36092600625,TSMS NEKKONDA,టి.ఎస్.ఎం.ఎస్. నెక్కొండ
