UDISE Code,English Title,Telugu Title
28140100401,GAUPS BANDA,ప్రభుత్వ ఎయిడెడ్ ప్రాథమికోన్నత పాఠశాల (GAUPS) బండ
28140100601,MPPS CHEKKAWADA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) చెక్కవాడ
28140100602,GPS (TW) THURRUWADA,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) తుర్రాడ
28140100902,GAHS BODLANKA,ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల (GAHS) బొడ్లంక
28140100908,GPS (TW) UPPARIGOTHULU,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) ఉప్పరిగోతులు
28140100910,GPS (TW) BODDUMANUVEEDHI,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) బొద్దుమనువీది
28140101001,MPPS GUMPENAGANDI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) గుంపెనగండి
28140101201,GAUPS PULLANGI,ప్రభుత్వ ఎయిడెడ్ ప్రాథమికోన్నత పాఠశాల (GAUPS) పుల్లంగి
28140101501,MPPS EGAVALASA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) ఎగవలస
28140101902,GPS (TW) OKKULURU,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) ఒక్కులూరు
28140102101,MPPS POTLAWADA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) పోట్లవాద
28140102201,MPPS CHATLAWADA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) చట్లవాడ
28140102501,GPS (TW) BODULURU,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) బోడులూరు
28140102502,GAHS (G) BODULURU,ప్రభుత్వ ఆశ్రమ ఉన్నత పాఠశాల (GAHS) (జి.) బోడులూరు
28140102801,GPS (TW) PAMULERU,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) పామూలెరు
28140103001,MPPS KUTRAWADA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) కుత్రవాద
28140103501,MPPS PANDIRIMAMIDIKOTA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) పండిమమిదికోటికోట
28140103601,GAUPS VETUKURU,ప్రభుత్వ ఎయిడెడ్ ప్రాథమికోన్నత పాఠశాల (GAUPS) వెతుకూరు
28140103701,GPS (TW) KUDURU,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) కూదురు
28140103901,GPS (TW) UTHALURU,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) ఉత్తలూరు
28140104301,MPPS THURUMAMIDI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) తురుమామిది
28140104601,GAUPS KUNDADA,ప్రభుత్వ ఎయిడెడ్ ప్రాథమికోన్నత పాఠశాల (GAUPS) కుండద
28140104701,MPPS GUJJU MAMIDI VALASA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) గుజ్జు మామిడి వలస
28140104902,GPS (TW) KOTHA COLONY,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) కొత్త కాలనీ
28140104903,MPPS MAREDUMILLI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) మరేదుమిల్లి
28140104904,ZPHS MAREDUMILLI,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) మరేదుమిల్లి
28140104906,KGBV MAREDUMILLI,కస్తూర్బా గాంధీ బాలికా విద్యాలయ (KGBV) మరేదుమిల్లి
28140105101,GPS (TW) PUJARIPAKALU,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) పుజరిపకాలు
28140105202,GPS (TW) CHAVLAMVARI VEEDHI,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) చావ్లంవరి వీధి
28140105401,MPPS KODAVATI LANKA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) కొడవటి లంక
28140105402,GAUPS TADEPALLI,ప్రభుత్వ ఎయిడెడ్ ప్రాథమికోన్నత పాఠశాల (GAUPS) తడేపల్లి
28140105501,MPPS PUTTAGONDILANKA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) పుట్టగొందిలంక
28140105601,MPPS VAIDA PUDI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) వైద పూడి
28140105701,MPPS DARAWADA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) దరావాద
28140105901,GPS (TW) DORACHINTALA PALEM,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) దొరచింతల పాలెం
28140106001,MPPS SRIPURAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) శ్రీపురం
28140106201,MPPS  DORACHINTHALA PALEM VELAMALA KOTA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) దొరచింతల పాలెం వెళ్ళామాల కోట
28140106301,MPPS GORAMAMIDI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) గొరమామిది
28140106401,GPS (TW) DORAMAMIDI,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) దొరమామిది
28140106601,MPPS NURUPUDI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) నురుపూడి
28140106801,MPPS SUNNAMPADU,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) సున్నంపాడు
28140107101,MPPS THURRURU,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) తుర్రూరు
28140107301,GPS (TW) KOTHAVALASA,ప్రభుత్వ ప్రాథమిక పాఠశాల (GPS) (టి.డబ్ల్యు.) కోతవలస
28140200101,MPPS DONKARAI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) దొంకరి
28140200103,ZPHS DONKARAI,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) దొంకరి
