UDISE Code,English Title,Telugu Title
28210600615,BHARATHIYA VIDYA MANDIR,భారతీయ విద్యా మందిర్
28210600627,KHADERVALI(EM&TM)S,ఖదేర్వాలి (EM TM) ఎస్.
28210600628,BHARATIYA VIDYA MANDIR,భారతీయ విద్యా మందిర్
28210600632,VENUS EM UP SCHOOL GUDUR,వెనస్ EM ప్రాధమికోన్నత పాఠశాల గూడూరు
28210600633,JYOTHI UP SCHOOL GUDUR,జ్యోతి ప్రాధమికోన్నత పాఠశాల గూడూరు
28210600634,"BHARATIYA VIDYA MANDIR UPS , GUDUR",భారతీయ విద్యా మందిర్ ప్రాథమికోన్నత పాఠశాల గూడూరు
28210600701,MPPS(MAIN) CHANUGONDLA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (మెయిన్) చనుగొండ్ల
28210600702,MPPS Y.KHANAPURAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) వై. ఖనాపురం
28210600703,MPPS(DPEP) CHANUGONDLA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (డి.పి.ఈ.పి.) చనుగొండ్ల
28210600704,MPPS(H.W) CHANUGONDLA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (హెచ్.డబల్యు.) చనుగొండ్ల
28210600705,ZPHS CHANUGONDLA,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) చనుగొండ్ల
28210600707,V.S.CONCEPT SCHOOL,వి.ఎస్. కొన్సెప్త్ పాఠశాల
28210600901,MPPS(REG) PENCHIKALAPADU,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (రేగ్) పెంచికలపాడు
28210600902,ZPHS PENCHIKALAPADU,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) పెంచికలపాడు
28210601001,MPPS(SPL) K. NAGALAPURAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (ఎస్.పి.ఎల్) కె. నాగలాపురం
28210601002,MPPS(JB) K. NAGALAPURAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (జె.బి.) కె. నాగలాపురం
28210601003,S.S.P PUBLIC SCHOOL,ఎస్.ఎస్.పి. పబ్లిక్ పాఠశాల
28210601004,NEW GOUTHAM VIDYA NIKETAN,కొత్త గౌత్తం విద్యా నికేతన్
28210601005,"ST JOSEPH EM SCHOOL, K.NAGALAPAURAM",ఎస్.టి. జోసెఫ్ EM పాఠశాల కె. నాగలపాలపారం
28210601101,"MPUPS,BUDIDAPADU",మండల ప్రజా పరిషత్ ప్రాథమికోన్నత పాఠశాల (MPUPS) బుడిడపడు
28210601102,MPUPS(U) BUDIDAPADU,మండల ప్రజా పరిషత్ ప్రాథమికోన్నత పాఠశాల (MPUPS) (యు.) బుడిడపడు
28210700102,MPPS(SPL) SUNKESULA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (ఎస్.పి.ఎల్) సుంకేసుల
28210700201,MPPS(M) REMATA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (ఎం.) రేమత
28210700202,MPPS(SPL) REMATA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (ఎస్.పి.ఎల్) రేమత
28210700204,ZPHS REMATA,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) రేమత
28210700205,MPPS (BC) REMATA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (బి.సి.) రేమత
28210700206,"ABHINAVA UP SCHOOL, REMATA",అభినవ ప్రాధమికోన్నత పాఠశాల రేమత
28210700301,MPPS R.K.DUDYALA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) అర్.కె. దుద్యాల
28210700302,MPPS R.KONTHALAPADU,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) అర్. కొంతాలపాడు
28210700304,ZPHS R.KONTHALAPDU,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) అర్. కొంతలప్డు
28210700305,ASHOKA EMUPS R.KONTHALAPADU,అశోక ఏముప్స్ అర్. కొంతాలపాడు
28210700401,MPUPS EDURUR,మండల ప్రజా పరిషత్ ప్రాథమికోన్నత పాఠశాల (MPUPS) ఎదురూరూ
28210700501,MPPS(BC COLONY) ULCHALA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (బి.సి. కాలనీ) ఉల్చాల
28210700502,MPPS(SC COLONY) ULCHALA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (ఎస్ సి కాలనీ) ఉల్చాల
28210700503,MPPS (R)  ULCHALA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (అర్.) ఉల్చాల
28210700504,MPPS(U) ULCHALA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (యు.) ఉల్చాల
28210700505,ZPHS ULCHALA,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) ఉల్చాల
28210700601,MPPS THOLISAPURAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) తొలిసపురం
28210700701,MPPS(HW) G.SINGAVARAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (హెచ్.డబల్యు.) జి. సింగవరం
28210700702,MPPS BAVAPURAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) బావపురం
28210700801,MPPS(BC) NIDZUR,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (బి.సి.) నిద్జర్
28210700802,MPPS(SC) NIDZUR,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (ఎస్ సి) నిద్జర్
28210700803,MPUPS (U) NIDZUR,మండల ప్రజా పరిషత్ ప్రాథమికోన్నత పాఠశాల (MPUPS) (యు.) నిద్జర్
28210700804,ZPHS NIDZUR,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) నిద్జర్
28210700901,MPPS LAKSHMI PETA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) లక్ష్మీ పేట
28210700902,MPPS MUNAGALAPADU,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) మునగలపాడు
28210700903,MPPS (URDU) MUNAGALAPADU,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (ఉర్దూ) మునగలపాడు
28210700904,ABM PS MUNAGALAPADU,ఎ.బి.ఎం. ప్రాథమిక పాఠశాల మునగలపాడు
28210700906,ZPHS MUNAGALAPADU,జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) మునగలపాడు
28210700909,"PRAGNA BHARATHI EM UPS, MUNAGALAPADU",ప్రజ్ఞ భారతి EM ప్రాథమికోన్నత పాఠశాల మునగలపాడు
28210700910,PRAGNA BHARATHI EM HS MUNAGALAPADU,ప్రజ్ఞ భారతి EM ఉన్నత పాఠశాల మునగలపాడు
28210701001,MPPS MASAMASEEDU,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) మసమసేదు
28210701002,MPPS(U) HAJARATHJI NAGAR,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (యు.) హజరత్జి నగర్
28210701003,MPPS GEETHAMUKARJENAGAR,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) గీతమూకర్జెనగర్
28210701005,"SWAMY VIVEKANANDA P.S, STANTANPURAM",స్వామి వివేకానంద ప్రాథమిక పాఠశాల స్తాంతాంపురంపురం
28210701008,"SRI SRIJA E M  P M S, STANTANPURAM",శ్రీ శ్రీజ ఈ. ఎం. పి. ఎం. ఎస్. స్తాంతాంపురంపురం
