UDISE Code,English Title,Telugu Title
28213090205,SREE SARASWATHY SISHU MANDIR,శ్రీ సరస్వతీ శిషు మందిర్
28213090206,ST. ANNES E/M P S,సెయింట్ అన్నేస్ EM పి. ఎస్.
28213090207,MPPS I.CHERUVU,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) అయి. చెరువు
28213090209,MPPS(M) BETHAMCHERLA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (ఎం.) బెతంచర్ల
28213090210,GRACE E/M S  BETHAMC,గ్రేస్ EM ఎస్. బెథాంక్
28213090212,MPUPS(HW) B.CHERLA,మండల ప్రజా పరిషత్ ప్రాథమికోన్నత పాఠశాల (MPUPS) (హెచ్.డబల్యు.) బి. చెర్లా
28213090214,SESHA REDDI HIGH S,శేషా రెడ్డి ఉన్నత ఎస్.
28213090215,SRI SARASWATHI SISU MANDIR,శ్రీ సరస్వతి సీసు మందిర్
28213090216,ST.ANNES E.M.HIGH S,ఎస్.టి. అన్నేస్ ఈ.ఎం. ఉన్నత ఎస్.
28213090217,SRI BHAGYODAYA  H S,శ్రీ భగ్యోదయ హెచ్. ఎస్.
28213090218,SUMEDHA EDUCATIONAL,సుమేధ ఎడ్యుకేషనల్
28213090219,SRI SARADA TALENT SC,శ్రీ శారద టలెంట్ ఎస్ సి
28213090220,SUMEDHA ED ACADAMY,సుమేధ ఈ.డి. అకడమీ
28213090228,ZPHS(HANUMAN NAGAR),జిల్లా పరిషత్ ఉన్నత పాఠశాల (ZPHS) (హనుమన్ నగర్)
28213090229,KGBV BETHAMCHERLA,కస్తూర్బా గాంధీ బాలికా విద్యాలయ (KGBV) బెతంచర్ల
28213090230,MPPS(HN) BETHAMCHERLA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) (హెచ్.ఎన్.) బెతంచర్ల
28213090232,SREE SARASWATHI SISU MANDAIR,శ్రీ సరస్వతి సీసు మందార్
