UDISE Code,English Title,Telugu Title
28200902619,MPPS MUDDAMVARI PALLE,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) ముద్దంవరి పల్లె
28200902701,KASINAYANA (EM&TM) UP SCHOOL,కసినాయన (EM TM) ప్రాధమికోన్నత పాఠశాల
28201000101,MPPS RAMESWARAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) రామేశ్వరం
28201000102,MPPS BURUGAMANI PALLE,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) బురుగమని పల్లె
28201000103,MPPS NAGALAKUNTLA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) నగలకుంట్ల
28201000104,R C M PS NAGALAKUNTLA,అర్. సి. ఎం. ప్రాథమిక పాఠశాల నగలకుంట్ల
28201000201,MPPS VASUDEVPURAM,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) వసుదేవ్పుదేవాం
28201000203,RCMPS AR PALLI,ఆర్.సి.ఎమ్. ప్రాథమిక పాఠశాల ఎ.అర్. పల్లి
28201000204,CSRPS ARPALLI,సి.ఎస్.అర్.పి.ఎస్. అర్పాల్లి
28201000401,MPPS ZILLELLA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) జిల్లెల్లా
28201000402,MPPS SIDDANAKITCHAYAPALL,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) సిద్దనకీట్చయప్యపల్
28201000502,MPPS KORRAPATI PALLE,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) కొర్రపాటి పల్లె
28201000601,MPPS MUSAL REDDY PALLI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) ముసల్ రెడ్డి పల్లి
28201000701,MPPS KAVALAKUNTLA,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) కావాలకుంట్ల
28201000703,MPPS KAVALAKUNTLA SC,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) కావాలకుంట్ల ఎస్ సి
28201000704,MPPS KAVALAKUNTLASC,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) కావాలకుంట్లాస్
28201000705,MPPS SURISIDDU PALLI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) సూరిసిద్దు పల్లి
28201000706,KSRMZPHS KAVALAKUNTLA,కె.ఎస్.అర్.ఎం.జెడ్.పి.హెచ్.ఎస్. కావాలకుంట్ల
28201000801,MPPS BUTCHAMAPALLE,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) బుత్చమపల్లి
28201000901,MPPS BALIREDDIPALLE,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) బలిరెడ్డిపల్లి
28201000902,MPPS KONDUGARI PALLI,మండల ప్రజా పరిషత్ ప్రాథమిక పాఠశాల (MPPS) కొండుగారి పల్లి
