,English_title_token,Telugu_title_token
0,GPS,ప్రభుత్వ ప్రాథమిక పాఠశాల (గిరిజన సంక్షేమ) (GPS)
1,7TH,7వ
2,DAY,డే
3,ADVENTIST,అడ్వెంటిస్ట్
4,"SCHOOL,",పాఠశాల
5,MG,ఎంజి
6,"ROAD,",రఘు
7,OPP,ఒ.పి.పి.
8,PWD,పి.డబ్ల్యూ.డి.
9,GROUNDS,4
10,A.P.,ఆంధ్రపదేశ్
11,MODEL,మోడల్
12,PEDDAPADU,పెద్దపాడు
13,DHONE,ధొనె
14,"A,",ఎ.బి.
15,B.,బి.
16,AIDED,ఎయిడెడ్
17,PS,ప్రాథమిక పాఠశాల
18,P.,పి.
19,NELATUR,నేలటూర్
20,A.B.M.,ఎ.బి.ఎం.
21,LAXMIPURAM,లక్ష్మీపురం
22,A.D.,ఎ.డి.ఎం.సి.
23,MC,ప్రాథమిక
24,"PS,",ప్రాథమిక
25,KOTHAPET,కొత్తపేట
26,"HS,",పాఠశాల
27,A.K.T.P.,ఎ.కె.టి.పి.ఎం.సి.
28,S.N.,ఎస్.ఎన్.ఈ.టి.
29,PURAM,పురం
30,MANTRALAYAM,మంత్రాలయం
31,NANDAVARAM,నందవరం
32,C.,సి.
33,BELAGAL,బెలగాల
34,JULAKALLU,జూలకల్లు
35,MIDTHUR,మిడుతూరు
36,ORVAKAL,ఓర్వకల్
37,PEDDAKADABUR,పెద్దకడబూర్
38,KRISHNAGIRI,కృష్ణగిరి
39,ATMAKUR,ఆత్మకూరు
40,SIRVEL,సిర్వెల్
41,KOTA,కోట
42,KANDUKUR,కందుకూరు
43,GOSAPDU,గోస్పాడు
44,RAVVALAKONDA,రవ్వలకొండ
45,KOLIMIGUNDLA,కొలిమిగుండ్ల
46,PATHIKONDA,పత్తికొండ
47,VELGODE,వెల్గోడె
48,PAMULAPADU,పాములపాడు
49,J-BUNGLOW,జె-బంగ్లా
50,KODUMUR,కోడుమూర్
51,GONEGANDLA,గొనెగండ్ల
52,ALUR,అలూర్
53,ASPARI,అస్పరి
54,GADIVEMULA,గడివేముల
55,MADDIKERA,మద్దికెర
56,JETTIPALEM,జెట్టిపాలెం
57,DACHEPALLI,దాచేపల్లి
58,DURGI,దుర్గి
59,DECHAVARAM,దేచవరం
60,CHIRUMAMILLA,చిరుమామిళ్ల
61,IPURU,ఐపూరు
62,CH,ఉన్నత
63,KT,కెటి
64,PALEM,పాలెం
65,NUZENDLA,నూజండ్ల
66,SCHOOL,పాఠశాల
67,PEDAKOMERA,పెద్దకొమెర
68,KADIVELLA,కడివేల్ల
69,HIGH,ఉన్నత
70,M.,ఎం.
71,THIMMAPURAM,తిమ్మాపురం
72,ABC,ఎబిసిఉన్నత
73,HS,పాఠశాల
74,PDRL,పి.డి.ఆర్.ఎల్.
75,ABHINANDANA,అభినందన
76,UP,ప్రాథమికోన్నత
77,RAMAVARAPPADU,రామవరప్పపాడు
78,ABHINAVA,అభినవ
79,REMATA,రేమటా
80,ABHYAS,అభ్యాస్
81,EM,EM
82,JOHARAPURAM,జొహరాపురం
83,ABHYASA,అభ్యాస
84,VIDYALAYAM,విద్యాలయం
85,GUNADALA,గుణదల
86,ABHYUDAYA,అభ్యుదయ
87,PUB,పబ్లిక్
88,S.,ఎస్.
89,GOLLAPUDI,గొల్లపూడి
90,ABM,ఎబియంఉన్నత
91,ELEMENTARY,ఎలిమెంటరీ
92,BAPATLA,బాపట్ల
93,AMMIREDDIGUDEM,అమ్మిరెడ్డిగూడెం
94,ADARSA,ఆదర్శ
95,PUBLIC,పబ్లిక్
96,TENALI,తెనాలి
97,VIDYA,విద్యా
98,MANDIR,మందిర్
99,BANAGANAPALLI,బనగానపల్లి
100,ADARSHA,ఆదర్శ
101,VIHAR,విహార్
102,KODUR,కోడూరు
103,BRAHMANAKOTKUR,బ్రహ్మణకోట్కూరు
104,"S,",పాఠశాల
105,NEAR,సమీపంలో
106,AYYAPPA,అయ్యప్ప
107,SWMAY,ఆలయం
108,"TEMPLE,",ఆలయం
109,KKL,కె.కె.ఎల్.
110,ADI,ఎ.డి.ఐ.
111,ANDHRA,ఆంధ్ర
112,U.P.,ప్రాథమికోన్నత
113,BUDHWARA,బుధవారపేట
114,"PETA,",పేట
115,KURNOOL,కర్నూల్
116,AIDEDPS,ఎయిడెడ్పీలు
117,GUNTHANALA,గుంతనల
118,ADITYA,ఆదిత్య
119,BALAJI,బాలాజీ
120,"NAGAR,",నగర్
121,GUNTUR,గుంటూరు
122,NEHRU,నెహ్రూ
123,ROAD,రోడ్
124,NIKETHAN,నికేతన్
125,PATAMATA,పటమట
126,E/M,EM
127,SL,హెచ్.ఎస్.ఎల్.
128,AELIYA,ఏలియా
129,VIKAS,వికాస్
130,TM,TM
131,&.,మీడియం)
132,CHORAGUDI,చొరగుడి
133,AHDPS,ఎ.హెచ్.డి.పి.ఎస్.
134,RACHAKUNTA,రాచకుంట
135,PALLI,పల్లి
136,AHES,ఎ.హెచ్.ఈ.ఎస్.
137,BORRAVARIPALEM,బొర్రవారిపాలెం
138,PILLALAVARIPALEM,పిల్లలవారిపాలెం
139,P.S.A.R.,పి.ఎస్.ఎ.ఆర్.
140,SAMALAKOTA,సామలకోట
141,RCM,ఆర్.
142,KOTHAPALLI,కొత్తపల్లి
143,GOTTIPADU,గొట్టిపాడు
144,HINDU,హిందూ
145,ELE,ఈ.ఎల్.ఈ.
146,S),ఎస్.)
147,MVK),ఎంవికె
148,ALLURU,అల్లూరు
149,KRISHNA,కృష్ణ
150,HARIJANA,హరిజన
151,"COMMITTEE,","కమిటీ,"
152,9TH,9వ
153,WARD,వాడ
154,8TH,8వ
155,"WARD,",వాడ
156,AKSHARA,అక్షర
157,UPS,ప్రాథమికోన్నత పాఠశాల
158,YENDAPALLI,ఎండపల్లి
159,SRI,శ్రీ
160,NIKETAN,నికేతన్
161,GURAZALA,గురజాల
162,TECHNE,టెక్నే
163,MACHAYAPALEM,మాచయపాలెం
164,BHARATI,భారతి
165,"VIDYALAYAM,",విద్యాలయం
166,BRUNDAVAN,బృందవన్
167,"GARDENS,",గార్డెన్స్
168,GV,జివి
169,KRP,కెఆర్
170,RD,ఆర్.బి.ఎస్.ఆర్.డి.
171,VINUKONDA,వినుకొండ
172,LAKSHMI,లక్ష్మీ
173,CMR,సిఎంఆర్
174,COLONY,కాలనీ
175,INTERNATIONAL,ఇంటర్నేషనల్
176,NANDIKOTKUR,నందికొట్కూర్
177,AKSHARASREE,అక్షరాశ్రీ
178,KALLUR,కల్లూరు
179,AKSHAYAA,అక్షయ
180,ALBISOLA,అల్బిస్ఓలా
181,ALIMIGHTY,అల్మైటీ
182,GADDAMANUGU,గడ్డమనుగు
183,ALPHA,ఆల్ఫా
184,NAGAR,నగర్
185,ALQUMER,ఆల్క్యుమర్
186,CREATIVE,క్రియేటివ్
187,ACADEMY,అకాడమీ
188,NIZAMPATNAM,నిజాంపట్నం
189,ALS,ఎ.ఎల్.ఎస్.
190,VALLABONDA,వల్లబోండా
191,PALLE,పల్లె
192,AMARAVATHI,అమరావతి
193,SATTENAPALLI,సత్తెనపల్లి
194,AMBEDKAR,అంబేద్కర్
195,MPL,పురపాలక
196,PDP,పిడిపి
197,BJJR,బిజెజెఆర్
198,CHEBROLU,చేబ్రోలు
199,REPALLE,రేపల్లె
200,AMBICA,అంబికా
201,SISHU,శిశు
202,KENDRAM,కేంద్రము
203,PRAKASH,ప్రకాష్
204,AMERICAN,అమెరికన్
205,MERITS,మెరిట్స్
206,ENGLISH,ఇంగ్లీష్
207,MEDUM,మీడియం
208,AMRUTHAPANI,అమృతపాణి
209,SCH,పాఠశాల
210,ANAS,అనాస్
211,MADARASA,మదరసా
212,ANGEL,ఏంజిల్
213,DEENAPUR,దీనాపూర్
214,PHIRANGIPURAM,ఫిరంగిపురం
215,ANJUMAN-E-ISLAMIYA,అంజుమన్-ఇ-ఇస్లామియాఉన్నత
216,ANM,ఎ.ఎన్.ఎం.
217,PAMARRU,పామర్రు
218,ANNAPURNA,అన్నపూర్ణ
219,DEVI,విధ్య
220,ANNOOR,అన్నూర్
221,FOUNDATION,ఫౌండేషన్
222,ANU,ఎ.ఎన్.యు.
223,MULALANKA,ములాలంక
224,ANURADHA,అనురాధ
225,BRODIPET,బ్రాడిపేట
226,4TH,టి.హెచ్.
227,LINE,లైన్
228,AP,ఎపి
229,BOLLAPALLI,బొల్లపల్లి
230,VALLUR,వల్లూరు
231,PULLAMPET,పుల్లంపేట
232,SAMBEPALLI,సంబేపల్లి
233,CHINNAMANDEM,చిన్నమండెం
234,RAYACHOTY,రాయచోటి
235,NARASAPURAM,నరసాపురం
236,(G),(జి.)
237,KONDAPALLI,కొండపల్లి
238,MADDULAPARVA,మద్దులపర్వ
239,Res,రెస్
240,MUSUNURU,ముసునూరు
241,PAGIDYAL,పగిడ్యాల్
242,GORUMANUKONDA,గోరుమనుకొండ
243,PANYAM,పన్యం
244,RUDRAVARAM,రుద్రవరం
245,UYYALAWADDA,ఉయ్యాలవాడ
246,OWK,ఓక్
247,AP.,ఆంధ్రప్రదేశ్
248,RAMAPURAM,రామపురం
249,APMDC,ఎపిఎండీసీ
250,APMS,ఎ. పి. మోడల్ పాఠశాల (APMS)
251,HAMSAVARAM,హంసవరం
252,SANKHAVARAM,శంఖవరం
253,PENAGALUR,పెనగలూరు
254,APPIKATLA,అప్పికట్ల
255,APPLE,ఆపిల్
256,MACHERLA,మాచర్ల
257,CONCEPT,కాన్సెప్ట్
258,APPMM,ఎపిపిఎంఎం
259,MALLAYYAPETA,మల్లయ్యపేట
260,APS,ఎ.పి.ఎస్.
261,KUNAVARAM,కూనవరం
262,APTWRS,ఆంధ్రప్రదేశ్ గిరిజన సంక్షేమ గురుకుల పాఠశాల
263,BOYS,బాలురు
264,ARAVANDA,అరవంద
265,V.,వి.
266,MUDI,ముడి
267,ARAVINDA,అరవింద
268,TADEP,పాఠశాల
269,0ALLI,తాడేపల్లి
270,MGL,ఎం.జి.ఎల్.
271,ARC,ఏ.ఆర్.సి.
272,MEDIUM,మీడియం
273,ARUNABHARATHI,అరుణభారతిఉన్నత
274,GOPAVRAM,గోపవరం
275,ARUNDHATHI,అరుంధతీ
276,VN,వి.ఎన్.
277,26,26
278,W.,వాడ.
279,ARUNDHATI,అరుంధతి
280,SCHOO,పాఠశాల
281,ARUNODAYA,అరుణోదయ
282,UPSVARAHAPATNAM,ఉపస్వరాహపట్నం
283,EM&TM,EM&TM
284,ADONI,అధోని
285,ASHOK,అశోక్
286,ASSALIHATH,అసలిహత్
287,ASSISI,అస్సిసి
288,AUP,ఎయుపి
289,VELLATURU,వెల్లటూరు
290,PEDAMAT,పెదమత్
291,AUPS,ఆప్స్
292,BALIJAPALLI,బలిజపల్లి
293,AUROBINDO,అరబిందో
294,Pub,పబ్లిక్
295,AUXILIUM,ఆక్సిలియం
296,PRIMARY,ప్రాథమిక
297,"EM,",(బాలికల)
298,LIC,ఎల్.ఐ.సి.
299,"COLONY,STHAMBALAGARUVU,","కాలనీ,స్తంబలగరువు,"
300,GUN,గుంటూరు
301,MITTAPALLE,మిట్టపల్లె
302,AVR,ఎవిఅర్
303,TECHNO,టెక్నో
304,ALLAGADDA,ఆళ్లగడ్డ
305,AYESHA,ఆయేషా
306,NISWAN,నిస్వాన్
307,RTY,పాఠశాలఆర్.టి.వై.
308,AYSK,ఎ.వై.ఎస్.కె.
309,(O),(ఓ.)
310,SADANAM,సదనం
311,STREET,వీధి
312,"VIDYANIKETHAN,",విద్యానికేతన్
313,AZAD,అజాద్
314,Mpl.,పురపాలక
315,(spl,పి.ఎల్.
316,KOLIMIDUNGLA,కొలిమిదుంగ్ల
317,B.B.,బి.బి.
318,VIDYALAYA,విద్యాలయ
319,KAREMPUDI,కారంపూడి
320,B.F.,బి.ఎఫ్.
321,SS,ఎస్.ఎస్.
322,RETUR,రెతుర్
323,B.H.A.,బి.హెచ్.ఎ.
324,19WARD,వాడ
325,VIDY,విద్యలయ
326,THUKKULURU,తుక్కులూరు
327,B.N.,బి.ఎన్.
328,GUNTURVARI,గుంటూరువారి
329,"THOTA,",తోట
330,B.V.R.,బి.వి.ఆర్.
331,31ST,31వ
